,price,lotsize,bedrooms,bathrms,stories
0,42000.0,5850,3,1,2
1,38500.0,4000,2,1,1
2,49500.0,3060,3,1,1
3,60500.0,6650,3,1,2
4,61000.0,6360,2,1,1
5,66000.0,4160,3,1,1
6,66000.0,3880,3,2,2
7,69000.0,4160,3,1,3
8,83800.0,4800,3,1,1
9,88500.0,5500,3,2,4
10,90000.0,7200,3,2,1
11,30500.0,3000,2,1,1
12,27000.0,1700,3,1,2
13,36000.0,2880,3,1,1
14,37000.0,3600,2,1,1
15,37900.0,3185,2,1,1
16,40500.0,3300,3,1,2
17,40750.0,5200,4,1,3
18,45000.0,3450,1,1,1
19,45000.0,3986,2,2,1
20,48500.0,4785,3,1,2
21,65900.0,4510,4,2,2
22,37900.0,4000,3,1,2
23,38000.0,3934,2,1,1
24,42000.0,4960,2,1,1
25,42300.0,3000,2,1,2
26,43500.0,3800,2,1,1
27,44000.0,4960,2,1,1
28,44500.0,3000,3,1,1
29,44900.0,4500,3,1,2
30,45000.0,3500,2,1,1
31,48000.0,3500,4,1,2
32,49000.0,4000,2,1,1
33,51500.0,4500,2,1,1
34,61000.0,6360,2,1,2
35,61000.0,4500,2,1,1
36,61700.0,4032,2,1,1
37,67000.0,5170,3,1,4
38,82000.0,5400,4,2,2
39,54500.0,3150,2,2,1
40,66500.0,3745,3,1,2
41,70000.0,4520,3,1,2
42,82000.0,4640,4,1,2
43,92000.0,8580,5,3,2
44,38000.0,2000,2,1,2
45,44000.0,2160,3,1,2
46,41000.0,3040,2,1,1
47,43000.0,3090,3,1,2
48,48000.0,4960,4,1,3
49,54800.0,3350,3,1,2
50,55000.0,5300,5,2,2
51,57000.0,4100,4,1,1
52,68000.0,9166,2,1,1
53,95000.0,4040,3,1,2
54,38000.0,3630,3,3,2
55,25000.0,3620,2,1,1
56,25245.0,2400,3,1,1
57,56000.0,7260,3,2,1
58,35500.0,4400,3,1,2
59,30000.0,2400,3,1,2
60,48000.0,4120,2,1,2
61,48000.0,4750,2,1,1
62,52000.0,4280,2,1,1
63,54000.0,4820,3,1,2
64,56000.0,5500,4,1,2
65,60000.0,5500,3,1,2
66,60000.0,5040,3,1,2
67,67000.0,6000,2,1,1
68,47000.0,2500,2,1,1
69,70000.0,4095,3,1,2
70,45000.0,4095,2,1,1
71,51000.0,3150,3,1,2
